FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,GENDER,WORK_LIFE_BALANCE_SCORE,AGE_21 to 35,AGE_36 to 50,AGE_51 or more,AGE_Less than 20
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,1,5,4,8,1,663.7,1,0,0,0
2,1,3,3,2,4,1,5,2,5,2,10,1,7,0,1,2,5,3,10,0,661.5,1,0,0,0
3,1,1,1,1,3,1,1,1,0,0,6,0,7,2,2,2,3,1,1,1,609.7,0,0,1,0
3,2,6,4,10,10,1,1,2,7,0,1,1,8,0,1,2,6,2,6,1,656.5,1,0,0,0
4,3,10,10,10,10,3,3,1,9,3,8,3,8,0,0,2,5,6,10,0,739.5,1,0,0,0
3,5,4,0,2,3,0,5,1,8,2,10,0,4,0,0,2,5,1,10,1,657.5,1,0,0,0
0,4,0,2,2,3,1,0,2,1,0,4,0,4,0,10,1,1,0,0,1,528.8,0,1,0,0
4,3,10,8,10,10,4,5,2,10,2,7,5,6,10,1,2,10,1,3,0,694.7,0,0,1,0
5,1,10,4,2,2,0,1,1,10,1,4,0,8,10,2,2,4,5,10,1,662.2,0,0,1,0
5,2,3,1,10,10,3,5,1,8,2,5,2,7,1,0,2,5,2,10,1,704.7,1,0,0,0
5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,1,694,0,1,0,0
5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,1,694,0,1,0,0
3,3,8,10,5,7,3,4,1,8,4,10,5,8,0,1,1,10,3,7,1,709.3,1,0,0,0
0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,0,538.8,1,0,0,0
1,1,2,2,1,3,4,0,1,2,2,8,10,8,0,1,2,1,1,10,0,654.5,0,0,0,1
5,1,6,4,10,4,5,1,2,10,1,1,10,8,0,3,2,0,3,10,1,680.3,0,0,1,0
0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,0,538.8,1,0,0,0
3,4,8,7,5,7,8,2,2,7,2,3,4,6,6,5,2,10,0,4,1,651.4,1,0,0,0
5,2,10,5,5,10,5,2,1,9,4,2,10,8,0,0,2,7,5,5,1,724.7,1,0,0,0
5,2,3,6,10,10,5,2,2,5,2,6,0,6,1,0,2,8,2,5,1,677.5,0,0,1,0
4,4,8,2,10,10,6,5,2,6,5,7,8,6,10,0,2,10,3,7,1,696.4,0,0,1,0
2,4,10,6,4,5,3,1,1,8,1,2,2,8,0,1,1,10,6,4,1,658.4,0,1,0,0
5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,1,749.7,0,1,0,0
5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,1,749.7,0,1,0,0
3,4,4,7,4,4,10,5,2,6,1,9,8,6,0,9,2,7,1,10,1,676.4,0,1,0,0
3,4,1,4,2,5,2,2,2,1,1,9,0,6,7,10,2,2,0,10,1,594.8,1,0,0,0
5,3,8,1,10,10,8,5,1,9,5,10,10,8,2,0,2,8,5,10,1,758.6,1,0,0,0
3,4,3,1,4,3,4,0,1,5,0,7,1,6,1,7,2,10,1,10,0,640.3,1,0,0,0
3,2,2,3,8,10,2,1,1,8,1,8,8,7,2,2,2,2,1,7,0,678.1,0,1,0,0
2,3,10,4,10,10,3,1,2,8,3,4,3,6,0,1,2,10,1,7,0,678.8,0,1,0,0
1,5,0,1,1,3,4,1,2,1,0,1,0,10,10,6,2,3,0,1,1,551.5,0,1,0,0
5,5,2,2,10,8,1,0,1,9,2,10,3,6,3,3,1,4,2,1,1,639.2,1,0,0,0
1,3,10,6,10,10,8,4,1,9,6,7,5,7,5,1,2,7,5,3,1,718.7,1,0,0,0
1,3,10,6,7,10,7,3,1,9,4,5,5,7,4,2,2,7,3,3,1,697.9,1,0,0,0
2,3,6,3,5,5,5,3,1,5,3,4,4,7,0,1,2,5,4,4,1,670.5,0,0,1,0
4,3,8,10,10,10,2,1,1,4,3,3,10,7,7,6,1,5,2,6,1,666.9,0,1,0,0
5,4,3,10,4,8,6,2,2,4,0,8,5,6,0,5,1,4,2,3,0,638.8,1,0,0,0
5,4,10,3,10,8,0,5,2,3,1,5,2,6,0,3,1,4,5,6,1,651.8,1,0,0,0
3,2,2,3,2,3,4,1,1,8,3,10,1,9,8,2,1,4,2,9,0,639.8,1,0,0,0
3,2,3,8,8,5,3,5,1,5,1,6,10,7,0,6,2,2,2,7,1,687.9,0,1,0,0
2,3,6,10,3,4,0,1,2,1,2,2,0,7,9,1,2,1,0,2,1,593.6,1,0,0,0
3,4,10,8,8,3,1,1,1,6,1,5,0,8,10,7,1,10,1,3,1,626.7,1,0,0,0
2,2,5,1,0,10,10,1,1,7,3,3,3,6,1,1,1,10,1,7,0,658.2,1,0,0,0
1,2,0,4,1,1,1,0,1,8,0,1,0,7,0,3,1,5,5,7,1,605.3,0,0,1,0
3,2,3,6,5,9,6,4,2,5,4,1,5,6,3,2,1,10,2,2,1,645.9,0,1,0,0
2,2,3,6,3,2,5,3,1,4,3,6,2,8,2,0,2,5,5,6,0,669.4,1,0,0,0
1,3,2,5,1,2,1,0,1,2,1,10,0,7,0,0,1,0,0,7,1,605.4,1,0,0,0
3,2,9,7,7,5,3,4,2,9,2,5,10,6,0,3,2,5,2,8,1,690.9,0,0,1,0
5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,1,709.4,0,0,0,1
5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,1,709.4,0,0,0,1
3,5,0,3,2,10,0,0,2,10,1,10,10,6,0,4,1,0,3,10,1,627.3,1,0,0,0
2,5,0,10,3,2,4,1,1,5,2,4,0,8,0,10,2,10,3,10,1,643.5,0,0,1,0
2,1,1,0,0,6,2,0,1,5,2,8,2,7,2,3,2,5,4,4,0,637.3,1,0,0,0
1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,1,665.3,1,0,0,0
1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,1,665.3,1,0,0,0
5,2,10,5,6,5,8,3,1,7,3,10,2,9,5,5,2,8,3,10,0,714.6,1,0,0,0
5,3,0,6,5,10,2,1,1,9,3,9,2,5,2,6,1,3,5,3,1,649,1,0,0,0
5,2,10,4,4,10,4,3,1,9,2,10,1,7,0,3,2,9,1,10,1,717.6,0,1,0,0
5,4,10,3,10,10,8,4,1,8,2,10,10,7,0,0,2,10,2,8,0,748.2,0,1,0,0
3,5,0,7,2,5,1,2,1,3,1,9,0,7,0,8,2,6,0,10,1,637.5,0,1,0,0
2,3,0,7,2,5,2,3,1,3,2,9,0,4,0,3,1,5,1,7,1,628.4,1,0,0,0
3,4,3,5,0,5,2,1,1,3,4,3,4,5,0,3,2,2,4,5,0,634.2,0,0,0,1
5,4,3,7,4,4,3,3,1,2,0,3,0,9,1,5,2,5,3,8,0,653.7,1,0,0,0
1,3,3,5,6,2,10,0,1,8,2,10,0,8,10,0,1,10,4,10,0,656.6,1,0,0,0
2,0,0,10,2,5,2,0,1,10,1,1,0,10,0,0,2,1,7,10,1,670.5,0,1,0,0
1,2,2,1,3,7,1,1,2,2,1,1,0,8,5,0,2,0,0,4,1,588.5,0,1,0,0
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,1,672.8,0,1,0,0
5,4,10,3,3,10,4,4,1,7,2,10,3,6,3,2,2,6,3,5,0,695.3,1,0,0,0
2,3,2,5,6,5,1,1,2,6,1,2,1,6,0,5,1,5,1,1,0,591.7,0,1,0,0
3,2,10,5,1,10,2,0,2,8,3,5,0,9,0,7,2,3,1,8,1,649,1,0,0,0
5,3,4,10,6,10,4,5,2,8,4,7,10,7,5,1,2,10,2,5,1,708.5,0,0,1,0
1,1,4,6,6,4,6,0,1,9,4,3,2,6,0,1,2,10,2,4,1,673.5,0,0,0,1
0,4,1,1,8,3,1,1,1,1,1,4,3,5,0,8,2,1,0,4,1,595.3,1,0,0,0
3,4,4,6,10,10,0,3,2,4,1,10,5,7,5,4,2,10,6,5,1,671.7,0,0,1,0
3,4,3,4,2,3,3,4,1,0,1,10,3,5,2,7,2,0,2,3,1,625.4,0,0,0,1
5,1,9,6,2,7,5,1,1,7,6,7,4,10,0,1,2,1,3,7,0,705.7,0,0,0,1
5,2,9,10,8,10,6,3,1,10,5,9,5,9,0,3,2,10,6,5,0,753.5,0,1,0,0
5,1,7,4,2,10,5,0,1,8,8,8,2,10,0,1,2,1,5,7,0,707.6,0,0,0,1
5,0,9,4,4,8,1,0,1,9,7,10,2,10,0,0,2,3,5,5,0,713.1,0,0,0,1
5,2,5,4,7,1,3,5,2,9,1,7,10,6,1,1,2,4,8,4,1,687.9,0,0,1,0
2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,1,729.4,0,0,1,0
5,3,10,10,5,5,10,3,2,8,2,5,2,7,10,9,2,5,3,7,1,665.6,0,0,1,0
1,2,4,3,1,2,0,1,2,2,0,2,3,8,0,2,1,4,0,1,0,576.8,1,0,0,0
2,5,5,6,2,4,6,0,2,3,1,5,5,6,10,10,2,10,3,3,1,602.5,0,1,0,0
3,4,10,5,8,4,3,5,1,5,4,7,0,6,10,2,2,5,2,7,1,669.2,0,1,0,0
2,2,2,6,4,4,5,5,1,6,2,4,4,7,0,3,2,8,4,6,1,680.7,0,1,0,0
5,5,5,5,10,10,3,4,1,4,5,4,0,9,0,3,2,3,9,5,1,694.7,0,1,0,0
3,4,2,2,10,3,1,5,2,3,4,1,0,9,7,0,2,3,0,0,1,612.5,0,1,0,0
4,3,10,6,4,7,1,1,1,7,2,5,1,7,1,3,2,6,2,10,0,679.2,0,1,0,0
2,3,5,3,0,10,3,1,1,7,6,3,2,8,5,1,2,10,6,10,0,677.3,1,0,0,0
5,1,3,8,10,10,3,1,1,10,6,6,10,7,0,0,2,4,1,10,1,730.4,0,1,0,0
3,5,6,3,6,4,3,2,1,10,4,2,1,8,0,2,1,10,4,7,1,658.4,0,1,0,0
5,3,10,4,10,2,5,5,1,9,1,4,10,6,0,1,2,7,2,6,1,714.5,0,1,0,0
5,5,5,5,6,10,0,0,1,0,4,6,5,6,10,8,1,10,1,3,1,619.7,0,0,0,1
4,3,4,7,4,5,2,0,1,8,2,6,5,7,0,3,2,7,3,5,1,672.6,1,0,0,0
3,3,0,2,3,3,0,3,2,8,0,3,0,8,0,3,2,2,0,1,1,602.5,0,1,0,0
4,3,1,7,10,4,2,5,1,8,2,5,3,7,4,0,2,9,1,7,1,689.4,0,0,1,0
3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,0,683.7,0,0,1,0
3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,0,683.7,0,0,1,0
1,5,0,1,6,4,4,3,1,9,6,4,3,6,6,1,2,6,0,1,1,632.9,0,0,1,0
1,1,5,5,3,7,5,1,1,5,2,5,1,8,0,3,2,10,1,4,0,665.8,1,0,0,0
5,3,10,10,10,6,6,4,2,10,7,6,10,6,0,1,2,5,6,7,1,733.6,0,0,1,0
5,2,3,10,10,10,2,2,1,8,2,10,2,8,0,1,2,3,2,7,1,711,0,0,1,0
1,3,1,2,2,1,2,0,2,2,0,3,0,10,10,4,1,2,0,10,0,558.7,1,0,0,0
4,3,5,10,10,10,5,2,1,10,9,10,10,8,0,4,2,7,10,5,1,753.5,0,0,1,0
3,2,2,3,2,5,4,3,1,6,3,3,0,7,2,4,1,8,4,4,1,636.3,1,0,0,0
3,3,3,8,4,1,2,4,2,4,1,2,2,9,10,4,1,7,1,6,1,604.2,1,0,0,0
1,4,4,6,10,7,2,3,2,2,5,2,2,5,4,1,1,8,1,5,0,620.4,0,0,1,0
3,4,5,5,10,6,3,3,1,7,1,10,1,5,7,5,2,0,0,3,1,645.8,1,0,0,0
3,4,10,1,4,1,3,1,2,6,2,9,1,6,10,2,1,4,1,2,0,594.8,1,0,0,0
2,3,2,10,1,10,7,2,2,10,5,10,4,6,10,1,2,6,5,8,0,674.9,1,0,0,0
5,3,8,5,8,10,5,5,2,10,5,10,5,6,0,2,2,4,4,7,1,715.7,0,0,1,0
2,1,2,2,0,1,1,3,2,1,2,1,1,6,0,10,2,5,0,10,0,596.6,0,0,1,0
5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,0,680.5,0,0,0,1
5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,0,680.5,0,0,0,1
3,2,10,8,8,8,0,0,1,10,5,10,6,7,0,0,2,7,1,7,1,715.9,0,1,0,0
3,3,6,5,8,2,2,0,2,5,2,10,0,7,0,2,2,5,1,3,1,639.4,0,0,1,0
5,1,7,3,0,9,5,2,1,5,3,7,10,8,0,2,2,2,1,9,1,698.5,1,0,0,0
0,1,10,9,8,10,1,1,1,2,1,2,1,8,2,4,1,8,0,1,0,639.7,1,0,0,0
4,4,5,4,10,4,4,5,1,5,3,5,8,7,0,1,2,5,10,10,1,714.9,0,0,1,0
2,2,8,4,4,5,3,3,1,3,2,9,1,7,10,4,2,7,2,8,1,657.9,1,0,0,0
4,2,4,6,1,10,1,1,2,5,6,3,2,8,0,1,2,4,1,10,1,658.6,0,0,1,0
5,1,6,10,10,5,3,5,1,10,6,6,3,8,10,0,2,10,4,10,1,732.3,0,0,1,0
5,2,5,3,3,10,10,2,2,10,1,4,2,7,0,1,2,10,10,10,1,706.2,0,0,1,0
3,4,6,7,6,6,1,5,2,9,1,9,1,5,0,7,2,4,0,0,1,642.2,1,0,0,0
5,2,10,3,4,5,4,3,1,4,5,7,5,9,3,3,2,8,2,9,1,702.1,0,0,1,0
2,3,10,10,10,8,5,2,1,5,3,6,0,7,0,1,1,10,5,10,1,699.8,1,0,0,0
4,2,0,2,10,10,0,5,1,7,6,5,0,7,10,2,1,5,8,8,0,665.6,0,0,1,0
3,3,6,9,8,5,4,3,2,7,7,1,4,10,3,3,2,3,6,7,1,677.3,0,0,0,1
5,2,5,8,10,10,5,3,1,7,5,10,5,7,0,5,2,10,4,4,1,729.5,0,1,0,0
0,3,4,5,4,5,4,5,1,2,2,1,1,6,0,5,1,5,1,10,1,628.9,1,0,0,0
2,5,1,4,4,4,0,1,1,2,0,1,0,8,0,4,1,2,1,3,1,583.4,1,0,0,0
0,4,0,4,0,3,2,0,2,5,3,1,1,8,5,1,2,3,5,9,0,597,1,0,0,0
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,1,679.8,1,0,0,0
2,4,2,0,9,8,0,2,1,2,2,4,2,9,0,8,1,4,4,10,0,628.4,0,1,0,0
2,4,2,10,5,5,3,5,2,2,2,1,0,5,0,5,2,10,0,2,0,627,0,1,0,0
2,1,10,8,10,5,0,5,1,7,8,7,0,8,0,2,2,10,10,10,0,739.3,1,0,0,0
4,4,8,10,10,7,8,3,2,8,4,10,2,8,0,10,2,7,7,7,1,704.2,0,1,0,0
1,4,3,6,5,7,5,5,1,4,1,1,6,7,0,3,1,10,2,10,1,661.4,0,0,0,1
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,1,679.8,1,0,0,0
2,4,4,8,4,4,0,0,2,8,3,4,3,6,6,7,2,5,1,8,0,615.9,0,1,0,0
4,4,10,5,7,7,7,3,1,8,7,8,10,8,0,2,2,10,4,9,1,741.2,0,0,1,0
3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,0,677,0,1,0,0
3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,0,677,0,1,0,0
4,4,5,5,3,10,4,0,2,9,1,3,4,7,3,3,2,10,1,2,0,644.8,0,0,1,0
1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,0,727.6,1,0,0,0
1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,0,727.6,1,0,0,0
3,4,1,1,10,1,3,3,2,7,2,3,0,6,5,0,1,10,1,3,1,608.9,0,1,0,0
3,1,5,9,10,10,5,3,1,9,6,2,3,7,0,1,2,10,6,10,1,734.7,1,0,0,0
1,4,6,10,6,2,2,3,1,2,2,3,0,10,0,1,1,10,1,8,1,650.5,1,0,0,0
5,0,10,9,8,6,4,2,1,6,6,8,4,9,1,1,2,10,3,10,0,743.1,1,0,0,0
3,1,7,10,10,10,10,2,2,8,10,5,4,9,10,1,2,10,5,10,1,725.5,0,0,1,0
5,1,10,7,7,10,7,0,1,8,10,8,3,6,0,0,2,10,5,10,0,749.3,1,0,0,0
3,4,8,5,4,10,6,5,2,8,7,10,8,6,0,3,2,7,5,3,1,703.8,0,1,0,0
4,5,1,4,5,10,4,5,1,5,3,8,1,6,5,5,2,5,2,5,1,660.9,0,0,1,0
4,2,10,10,10,4,6,3,1,5,6,2,3,7,0,1,1,5,5,10,0,702.4,0,1,0,0
2,5,2,2,10,10,3,1,2,4,4,5,2,10,10,3,2,10,2,7,0,639,0,1,0,0
2,5,2,2,10,10,3,1,2,4,4,5,2,10,10,3,2,10,2,7,0,639,0,1,0,0
1,3,7,4,4,2,3,2,2,4,0,1,1,9,0,1,2,2,0,1,0,609.1,1,0,0,0
5,0,10,3,10,5,0,0,2,0,0,9,1,4,0,10,2,2,4,10,0,645.4,0,0,1,0
4,2,8,5,4,9,5,3,1,6,2,7,4,8,0,10,2,9,3,3,1,688.3,0,1,0,0
4,2,8,5,4,9,5,3,1,6,2,7,4,8,0,10,2,9,3,3,1,688.3,0,1,0,0
4,1,8,9,3,4,6,4,1,6,2,4,2,9,0,1,2,6,3,4,1,698.1,1,0,0,0
5,5,3,5,3,2,4,3,1,3,3,8,0,6,8,7,1,4,3,5,1,615,1,0,0,0
4,2,8,8,8,7,8,2,1,9,5,9,7,7,7,2,2,6,5,10,1,727.6,0,1,0,0
4,1,2,10,7,8,10,4,2,6,8,5,10,7,7,1,2,10,3,10,1,720,0,1,0,0
5,3,4,10,10,10,10,5,2,6,6,10,10,7,7,2,2,4,4,10,1,727.8,0,1,0,0
5,0,10,10,10,10,6,5,2,10,6,8,2,8,0,1,2,10,3,10,1,754.8,0,0,1,0
1,4,2,4,3,4,3,1,2,6,4,3,5,6,0,0,2,4,1,5,0,624.2,0,1,0,0
4,2,4,4,3,6,7,3,1,8,1,7,5,8,0,6,2,4,1,4,1,676.4,0,1,0,0
3,4,0,1,0,0,0,3,1,3,0,2,1,7,3,2,1,2,0,1,0,573.2,1,0,0,0
2,5,0,1,10,0,0,1,2,0,5,1,2,5,10,0,2,10,0,1,1,581.1,0,0,1,0
5,3,5,2,3,5,2,1,1,6,1,3,4,7,10,7,2,2,2,5,1,624.4,0,1,0,0
3,1,6,5,4,7,4,1,1,5,3,6,3,8,10,2,2,4,5,7,1,667.7,1,0,0,0
4,2,1,3,6,3,8,2,2,4,4,6,4,8,0,1,2,4,5,8,0,667.7,1,0,0,0
5,2,10,10,10,5,10,5,1,6,4,6,2,8,0,1,2,10,6,10,1,754.4,1,0,0,0
4,3,5,9,4,10,7,3,1,6,4,6,1,6,0,2,2,10,3,7,1,706.4,0,1,0,0
5,5,8,4,3,9,3,1,1,1,2,8,1,5,6,0,2,4,1,3,0,645.4,0,0,1,0
1,3,1,3,1,5,1,1,2,3,3,1,3,5,4,3,2,4,8,2,1,598.1,0,1,0,0
2,2,4,8,1,3,0,3,1,3,1,7,2,7,10,5,2,5,0,4,0,625.2,1,0,0,0
5,1,10,10,10,10,10,5,1,7,5,3,1,7,10,1,2,10,2,5,0,728.1,1,0,0,0
4,3,2,2,10,8,1,5,1,4,0,2,1,7,0,1,2,7,0,7,1,668.4,0,0,1,0
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,1,672.8,0,1,0,0
